Data,Consum[MW],Productie[MW],Carbune[MW],Hidrocarburi[MW],Ape[MW],Nuclear[MW],Eolian[MW],Foto[MW],Biomasa[MW],Sold[MW]
2022-01-01,827492.0,900039.0,144619.0,172163.0,240581.0,207507.0,119202.0,7330.0,8604.0,72547.0
2022-01-02,852026.0,869978.0,140635.0,128314.0,234226.0,210305.0,135773.0,11998.0,8715.0,17952.0
2022-01-03,1025020.0,1058575.0,148730.0,185924.0,250969.0,203997.0,252737.0,7010.0,9234.0,33555.0
2022-01-04,1073218.0,1064232.0,143319.0,223907.0,294596.0,210734.0,168246.0,14107.0,9348.0,-8986.0
2022-01-05,1068637.0,1105130.0,139744.0,205537.0,298142.0,207523.0,230879.0,14199.0,9135.0,36493.0
2022-01-06,1072896.0,1097666.0,163246.0,254432.0,313065.0,209731.0,138681.0,9022.0,9520.0,24770.0
2022-01-07,1063727.0,1013919.0,167768.0,251203.0,284301.0,204834.0,89757.0,6728.0,9365.0,-49808.0
2022-01-08,1035602.0,1080390.0,153621.0,254116.0,278608.0,207338.0,175492.0,2096.0,9145.0,44788.0
2022-01-09,961165.0,947689.0,167629.0,247746.0,281707.0,208687.0,31244.0,1485.0,9221.0,-13476.0
2022-01-10,1119653.0,1164866.0,164002.0,251138.0,314991.0,204086.0,219761.0,1240.0,9670.0,45213.0
2022-01-11,1179368.0,1302747.0,166568.0,228615.0,307801.0,207317.0,380155.0,2394.0,9912.0,123379.0
2022-01-12,1192885.0,1284542.0,171105.0,240725.0,296531.0,206566.0,352914.0,6610.0,10122.0,91657.0
2022-01-13,1190452.0,1152317.0,172502.0,249333.0,275389.0,203763.0,232421.0,8305.0,10630.0,-38135.0
2022-01-14,1176626.0,1200573.0,163092.0,255187.0,257622.0,204626.0,295107.0,14233.0,10739.0,23947.0
2022-01-15,1085665.0,1141882.0,163798.0,245950.0,215651.0,206505.0,283302.0,17263.0,9454.0,56217.0
2022-01-16,979684.0,970937.0,159336.0,239319.0,190782.0,206348.0,147071.0,18798.0,9319.0,-8747.0
2022-01-17,1162055.0,1186186.0,175284.0,263304.0,241846.0,206642.0,275386.0,13385.0,10365.0,24131.0
2022-01-18,1166407.0,1245364.0,170126.0,243182.0,249750.0,205277.0,350454.0,15993.0,10616.0,78957.0
2022-01-19,1161453.0,1149256.0,180407.0,239982.0,253819.0,206715.0,237691.0,20230.0,10448.0,-12197.0
2022-01-20,1163037.0,1182080.0,192983.0,264539.0,246036.0,205469.0,246661.0,16285.0,10152.0,19043.0
2022-01-21,1149904.0,1023358.0,176694.0,265607.0,250067.0,208558.0,103564.0,8461.0,10440.0,-126546.0
2022-01-22,1099087.0,971177.0,178735.0,270507.0,213804.0,212783.0,70693.0,14311.0,10379.0,-127910.0
2022-01-23,1004288.0,1057857.0,171196.0,250905.0,188189.0,208592.0,222362.0,6848.0,9782.0,53569.0
2022-01-24,1075804.0,1179386.0,169722.0,224396.0,220252.0,207048.0,334872.0,14127.0,8984.0,103582.0
2022-01-25,1170031.0,1094265.0,173592.0,270863.0,275024.0,203276.0,144547.0,16712.0,10253.0,-75766.0
2022-01-26,1194784.0,1071463.0,170604.0,271660.0,236049.0,205036.0,170160.0,7655.0,10331.0,-123321.0
2022-01-27,1176741.0,1037982.0,169970.0,264821.0,258946.0,203983.0,119146.0,10839.0,10285.0,-138759.0
2022-01-28,1154266.0,1091089.0,183687.0,257649.0,223188.0,206146.0,197719.0,12232.0,10484.0,-63177.0
2022-01-29,1073633.0,956085.0,174150.0,265191.0,188981.0,209332.0,89697.0,18461.0,10311.0,-117548.0
2022-01-30,978565.0,1036653.0,163870.0,192308.0,194693.0,208175.0,255287.0,12750.0,9600.0,58088.0
2022-01-31,1101354.0,1057891.0,168498.0,241746.0,225082.0,205493.0,187909.0,19592.0,9622.0,-43463.0
2022-02-01,1146312.0,933204.0,183716.0,269816.0,221957.0,209935.0,28956.0,8374.0,10455.0,-213108.0
2022-02-02,1117166.0,939027.0,189333.0,261896.0,212310.0,206061.0,49580.0,10193.0,9697.0,-178139.0
2022-02-03,1151583.0,1087556.0,186991.0,265996.0,211105.0,206489.0,194795.0,11648.0,10559.0,-64027.0
2022-02-04,1123667.0,971845.0,162867.0,248634.0,208405.0,205806.0,113952.0,21131.0,11066.0,-151822.0
2022-02-05,1036030.0,944024.0,170710.0,263247.0,167037.0,208375.0,105172.0,18485.0,11031.0,-92006.0
2022-02-06,938502.0,943269.0,159862.0,251934.0,159244.0,207188.0,131802.0,22513.0,10778.0,4767.0
2022-02-07,1102786.0,1042176.0,171995.0,246489.0,205932.0,203235.0,199318.0,4149.0,11090.0,-60610.0
2022-02-08,1137459.0,1242158.0,171188.0,240351.0,205223.0,211037.0,384434.0,18221.0,11705.0,104699.0
2022-02-09,1107152.0,1035370.0,181829.0,245056.0,209219.0,205870.0,162596.0,18891.0,11940.0,-71782.0
2022-02-10,1075406.0,969248.0,176000.0,250046.0,206042.0,203827.0,95255.0,26349.0,11754.0,-106158.0
2022-02-11,1064882.0,956224.0,182645.0,257305.0,203073.0,203199.0,71790.0,26429.0,11822.0,-108658.0
2022-02-12,1015872.0,989153.0,167693.0,243557.0,162990.0,209444.0,174902.0,18948.0,11654.0,-26719.0
2022-02-13,927630.0,925578.0,164743.0,258633.0,178894.0,208464.0,84684.0,19120.0,11057.0,-2052.0
2022-02-14,1065260.0,896164.0,164405.0,261760.0,193270.0,205216.0,41332.0,18813.0,11397.0,-169096.0
2022-02-15,1105152.0,993491.0,175176.0,267645.0,222084.0,208930.0,87760.0,19869.0,12046.0,-111661.0
2022-02-16,1095289.0,991518.0,185674.0,257231.0,219521.0,209410.0,93185.0,14839.0,11708.0,-103771.0
2022-02-17,1078845.0,1075075.0,182179.0,237758.0,205863.0,207382.0,214471.0,15817.0,11630.0,-3770.0
2022-02-18,1070105.0,1072973.0,185595.0,235994.0,215634.0,206490.0,192624.0,24867.0,11801.0,2868.0
2022-02-19,977108.0,969374.0,150614.0,199154.0,187267.0,204356.0,194372.0,22113.0,11534.0,-7734.0
2022-02-20,913246.0,866836.0,158743.0,227754.0,183569.0,208267.0,67448.0,9825.0,11271.0,-46410.0
2022-02-21,1046741.0,1012621.0,168101.0,217351.0,229992.0,203822.0,155516.0,26185.0,11672.0,-34120.0
2022-02-22,989536.0,944562.0,162008.0,219983.0,241951.0,191607.0,104140.0,13610.0,11286.0,-44974.0
2022-02-23,831093.0,748641.0,148275.0,187950.0,207668.0,148827.0,38199.0,9327.0,8420.0,-82452.0
2022-02-24,1059819.0,1128259.0,189460.0,234356.0,257721.0,203279.0,211523.0,20723.0,11236.0,68440.0
2022-02-25,1052973.0,1023081.0,202662.0,238246.0,274253.0,204866.0,61995.0,29997.0,11092.0,-29892.0
2022-02-26,992988.0,1029754.0,166878.0,251211.0,232033.0,209121.0,144158.0,14875.0,11483.0,36766.0
2022-02-27,908327.0,1049999.0,170363.0,173137.0,195389.0,206355.0,278444.0,15160.0,11178.0,141672.0
2022-02-28,1098159.0,1237279.0,172641.0,231097.0,244861.0,205883.0,360716.0,10828.0,11249.0,139120.0
2022-03-01,1132567.0,1118082.0,191608.0,140200.0,265179.0,209974.0,288246.0,11111.0,11764.0,-14485.0
2022-03-02,1104645.0,1089067.0,178758.0,134364.0,217444.0,206120.0,337585.0,2900.0,11942.0,-15578.0
2022-03-03,1097326.0,1043357.0,206670.0,135153.0,239718.0,202382.0,227822.0,19744.0,11898.0,-53969.0
2022-03-04,1095060.0,873265.0,224593.0,137597.0,257430.0,205752.0,19296.0,16658.0,11968.0,-221795.0
