Data,Consum[MW],Productie[MW],Carbune[MW],Hidrocarburi[MW],Ape[MW],Nuclear[MW],Eolian[MW],Foto[MW],Biomasa[MW],Sold[MW]
2024-12-01,862907.0,913585.0,118042.0,210190.0,149181.0,196280.0,223576.0,8868.0,6140.0,50678.0
2024-12-02,1052812.0,856991.0,120982.0,219267.0,176239.0,197262.0,128506.0,6673.0,6288.0,-195821.0
2024-12-03,1092920.0,790557.0,132051.0,220677.0,194922.0,198238.0,29670.0,6864.0,6333.0,-302363.0
2024-12-04,1096657.0,797702.0,126951.0,220232.0,193731.0,197813.0,47970.0,2851.0,6303.0,-298955.0
2024-12-05,1109392.0,813461.0,126798.0,220582.0,191187.0,199104.0,62834.0,4927.0,6374.0,-295931.0
2024-12-06,1097334.0,882962.0,129354.0,230472.0,189677.0,202483.0,120362.0,2524.0,6373.0,-214372.0
2024-12-07,1017112.0,910231.0,128238.0,200901.0,170960.0,203225.0,197178.0,2235.0,5720.0,-106881.0
2024-12-08,919103.0,780916.0,128735.0,194850.0,178948.0,202236.0,60299.0,8586.0,5344.0,-138187.0
2024-12-09,1073319.0,930133.0,126683.0,233408.0,178660.0,199778.0,181118.0,3177.0,5452.0,-143186.0
2024-12-10,1107294.0,887731.0,116181.0,244166.0,187589.0,202757.0,126839.0,2194.0,6013.0,-219563.0
2024-12-11,1098031.0,859263.0,117240.0,261963.0,196037.0,200060.0,70653.0,5841.0,6004.0,-238768.0
2024-12-12,1079380.0,910156.0,120826.0,259879.0,191866.0,199702.0,117556.0,11983.0,6333.0,-169224.0
2024-12-13,1083305.0,878629.0,116396.0,263210.0,195780.0,197787.0,85413.0,11212.0,6979.0,-204676.0
2024-12-14,1012386.0,966676.0,116354.0,249739.0,166496.0,202655.0,210193.0,13080.0,6638.0,-45710.0
2024-12-15,931067.0,895900.0,118196.0,218109.0,160730.0,203978.0,174593.0,11720.0,6634.0,-35167.0
2024-12-16,1072046.0,1020103.0,104497.0,253953.0,177109.0,199739.0,262297.0,13951.0,6928.0,-51943.0
2024-12-17,1055064.0,995947.0,113065.0,250273.0,169479.0,200034.0,239343.0,14872.0,6930.0,-59117.0
2024-12-18,1055689.0,836395.0,117384.0,252534.0,189975.0,200210.0,51342.0,16904.0,6582.0,-219294.0
2024-12-19,1043406.0,829497.0,116370.0,250997.0,188871.0,198699.0,47057.0,19781.0,6016.0,-213909.0
2024-12-20,1037460.0,834054.0,124122.0,251558.0,177223.0,200252.0,62346.0,10291.0,6190.0,-203406.0
2024-12-21,983153.0,1000394.0,106913.0,226506.0,141068.0,200163.0,314873.0,2998.0,5975.0,17241.0
2024-12-22,910537.0,870133.0,106454.0,232911.0,159516.0,201918.0,150640.0,11606.0,5583.0,-40404.0
2024-12-23,998419.0,863054.0,95828.0,236283.0,183586.0,198780.0,128566.0,11823.0,6156.0,-135365.0
2024-12-24,948039.0,1002330.0,92074.0,225151.0,165246.0,198477.0,312832.0,1533.0,5470.0,54291.0
2024-12-25,783544.0,1053557.0,91401.0,220183.0,149138.0,198620.0,384499.0,4530.0,4454.0,270013.0
2024-12-26,804705.0,1069765.0,97776.0,219662.0,173276.0,200303.0,365064.0,8084.0,4367.0,265060.0
2024-12-27,883876.0,904823.0,105877.0,220066.0,183183.0,198217.0,187261.0,4090.0,4605.0,20947.0
2024-12-28,928887.0,755842.0,109269.0,131208.0,185932.0,198659.0,117771.0,5382.0,5725.0,-173045.0
2024-12-29,872094.0,706241.0,107525.0,209605.0,167664.0,199061.0,11931.0,3349.0,5874.0,-165853.0
2024-12-30,943881.0,714356.0,107423.0,216870.0,176009.0,196908.0,723.0,9059.0,5852.0,-229525.0
2024-12-31,919387.0,747501.0,108029.0,214193.0,164299.0,199341.0,45125.0,9602.0,5698.0,-171886.0
